City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,crane,31.3974,-102.3501,305.54,8,0,5.26,US,1681944284
265,misratah,32.3754,15.0925,291.93,65,82,9.08,LY,1681944285
266,labytnangi,66.6572,66.4183,262.16,92,100,1.84,RU,1681944285
267,sayat,38.7839,63.8803,282.08,33,0,3.51,TM,1681944286
268,aitape,-3.1374,142.3475,299.32,89,100,1.49,PG,1681944286
269,sitka,57.0531,-135.33,285.09,37,20,8.23,US,1681943769
270,tralee,52.2704,-9.7026,280.76,96,46,3.8,IE,1681944286
271,gerash,27.6652,54.1371,293.8,45,91,0.2,IR,1681944287
272,boa vista,2.8197,-60.6733,305.14,48,40,3.6,BR,1681944287
273,punta del este,-34.9667,-54.95,288.69,69,75,8.05,UY,1681944287
274,berezovyy,51.6667,135.7,274.54,70,100,3.9,RU,1681944287
275,gualeguay,-33.1416,-59.3097,285.23,55,6,2.12,AR,1681944287
276,broken hill,-31.95,141.4333,285.62,60,0,7.52,AU,1681944288
277,shahrud,36.4182,54.9763,287.06,34,2,0.93,IR,1681944288
278,vilyuchinsk,52.9306,158.4028,278.3,88,100,3.14,RU,1681943810
279,bamboo flat,11.7,92.7167,301.15,73,43,3.74,IN,1681944289
280,kamaishi,39.2667,141.8833,286.35,49,42,3.64,JP,1681944289
281,ellsworth,44.5434,-68.4195,281.28,72,100,3.6,US,1681944289
282,rio grande,-32.035,-52.0986,286.21,60,87,8.43,BR,1681944289
283,touros,-5.1989,-35.4608,299.63,83,100,4.25,BR,1681943926
284,arauca,7.0847,-70.7591,305.13,51,75,1.54,CO,1681944290
285,santa sylvina,-27.8326,-61.1375,293.18,43,1,2.86,AR,1681944290
286,oranjemund,-28.55,16.4333,287.75,86,80,2.36,NA,1681944290
287,qamdo,31.1667,97.2333,273.86,61,2,2.11,CN,1681943895
288,kayangel,8.0823,134.7173,301.88,75,11,5.11,PW,1681943799
289,fortuna,40.5982,-124.1573,287.54,58,41,1.79,US,1681943698
290,mutum,-19.8,-41.4383,299.08,72,89,2.27,BR,1681943878
291,seven pagodas,12.6264,80.1722,301.51,79,8,4.91,IN,1681943881
292,zeya,53.75,127.2667,270.29,69,100,3.2,RU,1681944291
293,santa rita,-7.1139,-34.9781,301.52,83,20,3.09,BR,1681944292
294,mossel bay,-34.1831,22.146,291.08,80,65,3.45,ZA,1681944292
295,hanover,52.3705,9.7332,282.11,81,100,8.23,DE,1681944014
296,vorkuta,67.5,64.0,265.85,97,100,3.58,RU,1681944292
297,luderitz,-26.6481,15.1594,288.52,79,89,2.63,NA,1681943933
298,raja,8.4596,25.678,302.42,43,91,3.07,SS,1681944293
299,margate,51.3813,1.3862,282.54,75,3,3.58,GB,1681944293
300,sarpol-e zahab,34.4611,45.8626,292.08,45,19,1.34,IR,1681944293
301,kruisfontein,-34.0033,24.7314,292.67,54,100,2.3,ZA,1681944293
302,yuzhno-kurilsk,44.0306,145.8556,279.66,76,37,0.81,RU,1681943780
303,christchurch,-43.5333,172.6333,289.21,82,100,5.66,NZ,1681944163
304,partizansk,43.1258,133.1339,282.25,89,100,1.25,RU,1681944294
305,cantilan,9.3336,125.9775,300.11,82,89,1.31,PH,1681944294
306,poronaysk,49.2167,143.1167,278.53,66,9,3.11,RU,1681944294
307,mukalla,14.5425,49.1242,299.99,71,0,1.62,YE,1681944294
308,ghat,24.9647,10.1728,297.35,12,15,3.73,LY,1681943831
309,sumbe,-11.2061,13.8437,299.74,83,87,2.03,AO,1681944295
310,kempsey,-31.0833,152.8333,292.56,80,80,0.45,AU,1681944295
311,ola,59.5833,151.2833,272.65,76,99,5.23,RU,1681944295
312,aksu,41.1231,80.2644,281.26,64,100,4.4,CN,1681944295
313,iskateley,67.6803,53.1512,272.85,98,100,6.29,RU,1681943853
